AirlineKey;AirlineId;Code;Description
1;1;02Q;Titan Airways
2;2;04Q;Tradewind Aviation
3;3;05Q;Comlux Aviation
4;4;06Q;Master Top Linhas Aereas Ltd.
5;5;07Q;Flair Airlines Ltd.
6;6;09Q;Swift Air
7;7;0BQ;DCA
8;8;0CQ;ACM AIR CHARTER GmbH
9;9;0GQ;Inter Island Airways
10;10;0HQ;Polar Airlines de Mexico d/b/a Nova Air
11;11;0J;JetClub AG
12;12;0JQ;Vision Airlines
13;13;0LQ;Metropix UK
14;14;0MQ;Multi-Aero
15;15;0OQ;Open Skies
16;16;0Q;Flying Service N.V.
17;17;0QQ;TAG Aviation (UK) Ltd.
18;18;0RQ;TAG Aviation Espana S.L.
19;19;0TQ;Corporatejets
20;20;0UQ;Comlux Malta
21;21;0VQ;Ocean Sky (UK) Limited
22;22;0WQ;Avjet Corporation
23;23;0YQ;Comlux Malta Ltd.
24;24;10Q;Swiss Air Ambulance
25;25;12Q;Unijet
26;26;13Q;Chartright Air Inc.
27;27;14Q;London Air Services Limited
28;28;15Q;Air Alsie A/S
29;29;16;PSA Airlines Inc.
30;30;17;Piedmont Airlines
31;31;17Q;Albinati Aeronautics SA
32;32;1AQ;Charter Air Transport
33;33;1BQ;Dynamic Airways
34;34;1DQ;Island Airlines LLC
35;35;1EQ;KaiserAir
36;36;1FQ;Alsek Air
37;37;1HQ;International Jet Management GmbH
38;38;1I;Sky Trek International Airlines
39;39;1IQ;Jet link AG
40;40;1JQ;Exec Direct Aviation Services Limited
41;41;1LQ;Bertelsmann Aviation GmbH
42;42;1MQ;Twin Cities Air Service LLC
43;43;1NQ;JSC The 224th Flight Unit State Airlines
44;44;1PQ;Makani Kai Air Charters
45;45;1QQ;City Wings Inc dba Seaflight
46;46;1RQ;Sun Air Express LLC dba Sun Air International
47;47;1SQ;Star Marianas Air Inc.
48;48;1TQ;Rhoades Aviation dba Transair
49;49;1UQ;Gainjet Aviation SA
50;50;1VQ;Scott Air LLC dba Island Air Express
51;51;1WQ;Ultimate JetCharters LLC dba Ultimate Air Shuttle
52;52;1XQ;Dassault Falcon Service
53;53;2E;Smokey Bay Air Inc.
54;54;2F;Frontier Flying Service
55;55;2K;Aerolineas Galapagos S A Aerogal
56;56;2M;Midway Express Airlines
57;57;2O;Island Air Service
58;58;2R;Regal Air
59;59;2T;Canada 3000 Airlines Ltd.
60;60;2U;Valley Air Express Inc.
61;61;37;Zeal 320
62;62;3C;Regions Air
63;63;3F;Pacific Airways
64;64;3M;Silver Airways
65;65;3S;AeroLogic GmbH
66;66;3U;Sichuan Airlines Co Ltd.
67;67;4B;Boutique Air
68;68;4B (1);Olson Air Service
69;69;4C;Aerovias de Intergracian Regional
70;70;4E;Tanana Air Service
71;71;4E (1);British Airtours Limited
72;72;4H;Belize Trans Air
73;73;4M;LAN Argentina
74;74;4M (1);Lan Dominica
75;75;4N;Air North
76;76;4O;ABC Aerolineas SA de CV dba Interjet
77;77;4R;Regent Air Corporation
78;78;4S;Sol Air (Aero Hunduras)
79;79;4S (1);Conner Air Lines Inc.
80;80;4T;Belair Airlines Ltd.
81;81;4W;Warbelow
