idorigin;_Origin;_OriginCityName;_OriginState
1;DEN;Denver; CO
2;EAR;Kearney; NE
3;MEI;Meridian; MS
4;SHR;Sheridan; WY
5;ORD;Chicago; IL
6;LAR;Laramie; WY
7;SLN;Salina; KS
8;IAH;Houston; TX
9;LBL;Liberal; KS
10;PBG;Plattsburgh; NY
11;PIB;Hattiesburg/Laurel; MS
12;CGI;Cape Girardeau; MO
13;HYS;Hays; KS
14;CNY;Moab; UT
15;CYS;Cheyenne; WY
16;IAD;Washington; DC
17;PUB;Pueblo; CO
18;RIW;Riverton/Lander; WY
19;VCT;Victoria; TX
20;JST;Johnstown; PA
21;SFO;San Francisco; CA
22;FSD;Sioux Falls; SD
23;MSN;Madison; WI
24;BOI;Boise; ID
25;BNA;Nashville; TN
26;FAT;Fresno; CA
27;LAX;Los Angeles; CA
28;HSV;Huntsville; AL
29;SLC;Salt Lake City; UT
30;GEG;Spokane; WA
31;SEA;Seattle; WA
32;BUR;Burbank; CA
33;ACV;Arcata/Eureka; CA
34;COS;Colorado Springs; CO
35;DSM;Des Moines; IA
36;ONT;Ontario; CA
37;MFR;Medford; OR
38;MKE;Milwaukee; WI
39;PSP;Palm Springs; CA
40;MLI;Moline; IL
41;MRY;Monterey; CA
42;RDM;Bend/Redmond; OR
43;ASE;Aspen; CO
44;FWA;Fort Wayne; IN
45;RDD;Redding; CA
46;TUL;Tulsa; OK
47;MEM;Memphis; TN
48;XNA;Fayetteville; AR
49;SBN;South Bend; IN
50;SGF;Springfield; MO
51;SNA;Santa Ana; CA
52;FAR;Fargo; ND
53;TUS;Tucson; AZ
54;GSP;Greer; SC
55;RAP;Rapid City; SD
56;MTJ;Montrose/Delta; CO
57;MAF;Midland/Odessa; TX
58;JAC;Jackson; WY
59;DRO;Durango; CO
60;TYS;Knoxville; TN
61;BIH;Bishop; CA
62;STS;Santa Rosa; CA
63;LBB;Lubbock; TX
64;BZN;Bozeman; MT
65;SAV;Savannah; GA
66;ABQ;Albuquerque; NM
67;CPR;Casper; WY
68;RNO;Reno; NV
69;SBP;San Luis Obispo; CA
70;OKC;Oklahoma City; OK
71;DTW;Detroit; MI
72;DCA;Washington; DC
73;CMH;Columbus; OH
74;SHD;Staunton; VA
75;OMA;Omaha; NE
76;BIS;Bismarck/Mandan; ND
77;CVG;Cincinnati; OH
78;DFW;Dallas/Fort Worth; TX
79;COD;Cody; WY
80;EGE;Eagle; CO
81;BHM;Birmingham; AL
82;AVL;Asheville; NC
83;AMA;Amarillo; TX
84;ATL;Atlanta; GA
85;GJT;Grand Junction; CO
86;CID;Cedar Rapids/Iowa City; IA
87;MCW;Mason City; IA
88;ALS;Alamosa; CO
89;SUX;Sioux City; IA
90;TBN;Fort Leonard Wood; MO
91;ICT;Wichita; KS
92;STL;St. Louis; MO
93;HRL;Harlingen/San Benito; TX
94;LGA;New York; NY
95;MSP;Minneapolis; MN
96;LWB;Lewisburg; WV
97;BFF;Scottsbluff; NE
98;LBF;North Platte; NE
99;CMX;Hancock/Houghton; MI
100;DVL;Devils Lake; ND
101;JMS;Jamestown; ND
102;JLN;Joplin; MO
103;EAU;Eau Claire; WI
104;MKG;Muskegon; MI
105;DEC;Decatur; IL
106;GCC;Gillette; WY
107;OGS;Ogdensburg; NY
108;PSC;Pasco/Kennewick/Richland; WA
109;HOB;Hobbs; NM
110;DDC;Dodge City; KS
111;CKB;Clarksburg/Fairmont; WV
112;FOD;Fort Dodge; IA
113;PAH;Paducah; KY
114;VEL;Vernal; UT
115;PRC;Prescott; AZ
116;RKS;Rock Springs; WY
117;BFL;Bakersfield; CA
118;GRR;Grand Rapids; MI
119;IDA;Idaho Falls; ID
120;ELP;El Paso; TX
121;CLE;Cleveland; OH
122;GTF;Great Falls; MT
123;LWS;Lewiston; ID
124;MOT;Minot; ND
125;MCI;Kansas City; MO
126;AVP;Scranton/Wilkes-Barre; PA
127;HLN;Helena; MT
128;CHA;Chattanooga; TN
129;SDF;Louisville; KY
130;GUC;Gunnison; CO
131;LEX;Lexington; KY
132;SYR;Syracuse; NY
133;SMF;Sacramento; CA
134;ORF;Norfolk; VA
135;XWA;Williston; ND
136;HDN;Hayden; CO
137;SRQ;Sarasota/Bradenton; FL
138;BTM;Butte; MT
